timestep,bus,voltage_pu,angle_deg,P_MW,Q_MVar,measurement_type
0,0,1.02,50.0,0.0,0.0,full
0,1,1.0208443349932363,50.03048941180881,0.0,0.0,full
0,2,1.0208443349932363,50.03048941180881,0.0,0.0,full
0,3,1.025512152388292,-98.25654044970659,0.0,0.0,full
0,4,1.025512152388292,-98.25654044970659,0.0,0.0,full
0,5,1.0300000000000002,-98.13130210140989,0.0,0.0,full
0,6,1.025320795318594,-98.19624488889062,2.3604520488202745,0.7758430694841062,full
1,0,1.02,50.0,0.0,0.0,full
1,1,1.020822948784925,50.027277609603274,0.0,0.0,full
1,2,1.020822948784925,50.027277609603274,0.0,0.0,full
1,3,1.0254308791188695,-98.38668465951562,0.0,0.0,full
1,4,1.0254308791188695,-98.38668465951562,0.0,0.0,full
1,5,1.03,-98.26637147692804,0.0,0.0,full
1,6,1.0247708720360174,-98.3382065728306,3.166974115239127,1.0409340531919944,full
2,0,1.02,50.0,0.0,0.0,full
2,1,1.0208037003907926,50.02440747081058,0.0,0.0,full
2,2,1.0208037003907926,50.02440747081058,0.0,0.0,full
2,3,1.0253576467822734,-98.50309277365365,0.0,0.0,full
2,4,1.0253576467822734,-98.50309277365365,0.0,0.0,full
2,5,1.0300000000000002,-98.38721853785955,0.0,0.0,full
2,6,1.0242783906277793,-98.46518702837089,3.887681391407568,1.2778190793553144,full
3,0,1.02,50.0,0.0,0.0,full
3,1,1.0207696883145483,50.01938255202744,0.0,0.0,full
3,2,1.0207696883145483,50.01938255202744,0.0,0.0,full
3,3,1.0252280558946254,-98.7071441112907,0.0,0.0,full
3,4,1.0252280558946254,-98.7071441112907,0.0,0.0,full
3,5,1.03,-98.59912744048971,0.0,0.0,full
3,6,1.023413763021703,-98.68777535575438,5.149418649348579,1.692532060952488,full
4,0,1.02,50.0,0.0,0.0,full
4,1,1.020729093611234,50.01346092936326,0.0,0.0,full
4,2,1.020729093611234,50.01346092936326,0.0,0.0,full
4,3,1.0250730773125087,-98.94802093955123,0.0,0.0,full
4,4,1.0250730773125087,-98.94802093955123,0.0,0.0,full
4,5,1.0300000000000002,-98.84940532668452,0.0,0.0,full
4,6,1.0223908837577602,-98.95054216518281,6.636230687052669,2.181223545134419,full
5,0,1.02,50.0,0.0,0.0,full
5,1,1.0207297299920504,50.01355313674139,0.0,0.0,full
5,2,1.0207297299920504,50.01355313674139,0.0,0.0,full
5,3,1.0250755093486448,-98.94426671856485,0.0,0.0,full
5,4,1.0250755093486448,-98.94426671856485,0.0,0.0,full
5,5,1.0300000000000002,-98.84550354260158,0.0,0.0,full
5,6,1.0224068442494478,-98.94644671318622,6.6130798325409845,2.17361422723512,full
6,0,1.02,50.0,0.0,0.0,full
6,1,1.0207452809131676,50.01581248200521,0.0,0.0,full
6,2,1.0207452809131676,50.01581248200521,0.0,0.0,full
6,3,1.0251349150117586,-98.85231180537579,0.0,0.0,full
6,4,1.0251349150117586,-98.85231180537579,0.0,0.0,full
6,5,1.03,-98.74994455331293,0.0,0.0,full
6,6,1.0227975962320481,-98.846134379454,6.045809959445266,1.9871616366017264,full
7,0,1.02,50.0,0.0,0.0,full
7,1,1.0207348598177253,50.01429713149653,0.0,0.0,full
7,2,1.0207348598177253,50.01429713149653,0.0,0.0,full
7,3,1.0250951109341093,-98.91397901045605,0.0,0.0,full
7,4,1.0250951109341093,-98.91397901045605,0.0,0.0,full
7,5,1.0300000000000002,-98.81402655452906,0.0,0.0,full
7,6,1.0225355866825334,-98.91340614611342,6.4262813712719575,2.1122165421441212,full
8,0,1.02,50.0,0.0,0.0,full
8,1,1.0206648717235554,50.004254540899986,0.0,0.0,full
8,2,1.0206648717235554,50.004254540899986,0.0,0.0,full
8,3,1.0248272415458979,-99.32341728428078,0.0,0.0,full
8,4,1.0248272415458979,-99.32341728428078,0.0,0.0,full
8,5,1.0299999999999998,-99.23972342992822,0.0,0.0,full
8,6,1.0207920488802682,-99.36006876161474,8.947583745766085,2.940928556990067,full
9,0,1.02,50.0,0.0,0.0,full
9,1,1.0206558214871517,50.00297258694203,0.0,0.0,full
9,2,1.0206558214871517,50.00297258694203,0.0,0.0,full
9,3,1.024792535491048,-99.37577840031474,0.0,0.0,full
9,4,1.024792535491048,-99.37577840031474,0.0,0.0,full
9,5,1.0299999999999998,-99.29419205355933,0.0,0.0,full
9,6,1.0205685868886483,-99.41719189659692,9.269409146034953,3.046707450701269,full
10,0,1.02,50.0,0.0,0.0,full
10,1,1.0205760308026919,49.99182832964504,0.0,0.0,full
10,2,1.0205760308026919,49.99182832964504,0.0,0.0,full
10,3,1.0244859111642335,-99.83189530314367,0.0,0.0,full
10,4,1.0244859111642335,-99.83189530314367,0.0,0.0,full
10,5,1.03,-99.76893842886916,0.0,0.0,full
10,6,1.0186173790934274,-99.9148049377642,12.066847839325165,3.966181084398091,full
11,0,1.02,50.0,0.0,0.0,full
11,1,1.0207037976284925,50.00981146426135,0.0,0.0,full
11,2,1.0207037976284925,50.00981146426135,0.0,0.0,full
11,3,1.0249763406171555,-99.09669741433335,0.0,0.0,full
11,4,1.0249763406171555,-99.09669741433335,0.0,0.0,full
11,5,1.03,-99.00395217532429,0.0,0.0,full
11,6,1.0217583462541155,-99.11273376688155,7.552495627750828,2.4823852672745574,full
12,0,1.02,50.0,0.0,0.0,full
12,1,1.0207617620724805,50.01821993638528,0.0,0.0,full
12,2,1.0207617620724805,50.01821993638528,0.0,0.0,full
12,3,1.0251978217662916,-98.7544010119748,0.0,0.0,full
12,4,1.0251978217662916,-98.7544010119748,0.0,0.0,full
12,5,1.03,-98.64821799996217,0.0,0.0,full
12,6,1.0232132755430774,-98.73932614701513,5.441337806229987,1.7884812478166217,full
13,0,1.02,50.0,0.0,0.0,full
13,1,1.0207237312649542,50.01268473787373,0.0,0.0,full
13,2,1.0207237312649542,50.01268473787373,0.0,0.0,full
13,3,1.0250525810571443,-98.97962791683541,0.0,0.0,full
13,4,1.0250525810571443,-98.97962791683541,0.0,0.0,full
13,5,1.0299999999999996,-98.88225595260384,0.0,0.0,full
13,6,1.022256488727563,-98.98502205972291,6.83111104160552,2.2452776200875624,full
14,0,1.02,50.0,0.0,0.0,full
